#,Name,Start,End,Length,Color
R7,Puente,49.1.00,57.1.00,8.0.00,0000FF
R1,Verso 1,9.1.00,17.1.00,8.0.00,80FF80
R3,Verso 2,25.1.00,33.1.00,8.0.00,80FF80
R9,Verso 3,65.1.00,73.1.00,8.0.00,80FF80
R5,Intro,1.1.00,9.1.00,8.0.00,FF8000
R6,Solo,41.1.00,49.1.00,8.0.00,FF8000
R11,Outro,81.1.00,110.1.00,29.0.00,FF8000
R2,Coro 1,17.1.00,25.1.00,8.0.00,FF0000
R4,Coro 2,33.1.00,41.1.00,8.0.00,FF0000
R8,Coro 3,57.1.00,65.1.00,8.0.00,FF0000
R10,Coro 4,73.1.00,81.1.00,8.0.00,FF0000
